datetime,temp,dew,humidity,sealevelpressure,precipitation,temp_EMA_3_days,humidity_lag_3_days,season_sin,season_cos,winddir_sin,winddir_cos,moisture_flux,temperature_inversion_index
2016-07-01,21.1,68.9,96.8,1009.1,53.1,21.1,87.42500000000001,-0.587785252292473,-0.8090169943749476,0.979575249599344,0.2010779211459645,872.3705342831918,-0.0956
2016-07-02,21.7,69.0,93.9,1009.8,13.7,21.4,87.42500000000001,-0.587785252292473,-0.8090169943749476,0.1374445460371466,-0.9905094632383088,118.73559443057025,-0.0945999999999999
2016-07-03,23.2,69.8,88.4,1007.7,2.0,22.3,87.42500000000001,-0.587785252292473,-0.8090169943749476,-0.5891963573533419,-0.8079898838980306,-666.6874622724534,-0.0931999999999999
2016-07-04,23.7,69.4,84.5,1006.3,16.8,23.0,96.8,-0.587785252292473,-0.8090169943749476,0.04013179253256,-0.999194395114446,19.668591520207663,-0.0914
2016-07-05,24.3,69.9,82.7,1005.7,3.8,23.65,93.9,-0.587785252292473,-0.8090169943749476,0.9396926207859084,-0.3420201433256687,885.9234090245388,-0.0912
2016-07-06,23.6,69.5,85.3,1005.7,0.0,23.625,88.4,-0.587785252292473,-0.8090169943749476,0.2789911060392291,-0.9602936856769432,468.81944449938095,-0.0917999999999999
2016-07-07,24.0,70.1,84.8,1007.5,6.1,23.8125,84.5,-0.587785252292473,-0.8090169943749476,-0.3173046564050919,-0.9483236552061994,-344.415166248343,-0.0921999999999999
2016-07-08,24.4,70.1,83.0,1008.0,0.3,24.10625,82.7,-0.587785252292473,-0.8090169943749476,-0.9997806834748456,0.0209424198833563,-572.5743974260441,-0.0914
2016-07-09,23.9,70.0,85.5,1006.5,0.0,24.003125,85.3,-0.587785252292473,-0.8090169943749476,-0.3255681544571567,-0.9455185755993168,-317.3312801493907,-0.0922
2016-07-10,23.6,69.3,84.5,1006.1,2.5,23.8015625,84.8,-0.587785252292473,-0.8090169943749476,-0.5664062369248329,-0.8241261886220156,-612.6249858578993,-0.0914
2016-07-11,23.4,70.3,88.4,1008.7,9.4,23.60078125,83.0,-0.587785252292473,-0.8090169943749476,-0.4771587602596084,-0.8788171126619654,-291.0477574079508,-0.0938
2016-07-12,24.1,70.3,84.6,1009.2,2.8956,23.850390625,85.5,-0.587785252292473,-0.8090169943749476,-0.5269557954966775,-0.849892692986864,-459.1787410798948,-0.0924
2016-07-13,24.5,69.8,81.4,1009.4,1.0,24.1751953125,84.5,-0.587785252292473,-0.8090169943749476,-0.5519369853120581,-0.8338858220671682,-413.3345695604941,-0.0906
2016-07-14,23.9,70.4,86.1,1008.3,39.1,24.03759765625,88.4,-0.587785252292473,-0.8090169943749476,-0.5090414157503712,-0.8607420270039436,-451.4331987299017,-0.093
2016-07-15,23.8,71.1,88.7,1008.1,14.2,23.918798828125,84.6,-0.587785252292473,-0.8090169943749476,-0.2385334575785808,-0.971134279909636,-317.3687653083019,-0.0945999999999999
2016-07-16,23.3,70.3,89.0,1010.3,29.0,23.6093994140625,81.4,-0.587785252292473,-0.8090169943749476,-0.8100416404457959,-0.5863723567357895,-742.5651717966612,-0.094
2016-07-17,22.1,69.5,92.8,1011.0,0.508,22.85469970703125,86.1,-0.587785252292473,-0.8090169943749476,0.0575640269595673,-0.9983418166140284,55.02199952903288,-0.0948
2016-07-18,22.9,69.5,88.5,1009.9,38.6,22.877349853515625,88.7,-0.587785252292473,-0.8090169943749476,-0.4817536741017154,-0.8763066800438635,-392.2438414536167,-0.0932
2016-07-19,23.8,70.4,86.6,1007.9,24.4,23.33867492675781,89.0,-0.587785252292473,-0.8090169943749476,-0.3518416484047015,-0.9360595357389734,-246.80284268996192,-0.0932
2016-07-20,22.8,70.4,91.3,1009.0,0.5,23.069337463378908,92.8,-0.587785252292473,-0.8090169943749476,0.267238376078257,-0.963630453208623,224.4695463706927,-0.0952
2016-07-21,22.3,69.6,92.1,1010.6,14.5,22.684668731689456,88.5,-0.587785252292473,-0.8090169943749476,0.5180270093731302,-0.8553642601605066,386.4533292624488,-0.0945999999999999
2016-07-22,21.4,68.9,94.6,1011.2,37.6,22.042334365844727,86.6,-0.587785252292473,-0.8090169943749476,0.9390942520947092,-0.3436596945856159,515.262234239325,-0.095
2016-07-23,22.8,69.0,88.2,1011.3,0.5,22.421167182922364,91.3,-0.587785252292473,-0.8090169943749476,-0.0052359638314195,-0.9999862922474267,-3.186502868525326,-0.0924
2016-07-24,23.4,69.2,85.9,1011.7,0.5,22.910583591461183,92.1,-0.587785252292473,-0.8090169943749476,-0.5678437450531013,-0.8231363685344418,-556.0666657807001,-0.0916
2016-07-25,21.6,69.1,94.1,1012.8,28.4,22.255291795730592,94.6,-0.587785252292473,-0.8090169943749476,0.4694715627858907,-0.882947592858927,256.2281895372834,-0.0949999999999999
2016-07-26,22.3,68.4,88.5,1015.1,86.1,22.2776458978653,88.2,-0.587785252292473,-0.8090169943749476,-0.4178670738010764,-0.908508177526722,-340.2273714888364,-0.0922
2016-07-27,22.2,67.8,86.9,1015.0,0.3,22.23882294893265,85.9,-0.587785252292473,-0.8090169943749476,-0.3485720473218151,-0.9372819894918916,-278.67638039284475,-0.0911999999999999
2016-07-28,22.2,68.7,89.7,1013.1,6.6,22.219411474466327,94.1,-0.587785252292473,-0.8090169943749476,0.925209718385782,-0.379456159529005,572.6400510005122,-0.093
2016-07-29,22.5,68.1,86.9,1011.9,4.9022,22.359705737233163,88.5,-0.587785252292473,-0.8090169943749476,-0.9690157314068696,0.2469990127227431,-581.0315227088731,-0.0911999999999999
