datetime,tempmax,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,solarenergy,precipitation,month,season,month_sin,month_cos,season_number,season_sin,season_cos,winddir_sin,winddir_cos,orographic_precipitation_potential,valley_temperature_inversion_index,urban_heat_island_effect_refined
2015-01-14,66.1,37.3,49.4,38.3,70.5,8.1,155.0,1021.1,25.0,16.0,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,0.4226182617406995,-0.9063077870366499,241.33615836702646,0.022200000000000004,11.871100000000002
2015-01-15,75.8,37.3,50.0,39.2,70.3,9.2,240.6,1021.1,23.0,14.4,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.8712138111201894,-0.49090375361514105,-563.4662444800936,0.021599999999999994,11.591099999999997
2015-01-16,62.5,37.3,49.3,40.0,73.3,6.9,172.3,1021.1,27.1,13.1,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,0.1339861854182918,-0.9909831997148363,67.76619299900945,0.018599999999999995,10.050099999999997
2015-01-17,62.5,40.9,50.0,41.2,74.8,9.2,236.9,1020.0,29.2,14.7,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.837718716620439,-0.5461019610144289,-576.4845120295212,0.017599999999999994,9.527999999999997
2015-01-18,62.5,37.3,49.3,38.8,70.9,9.2,264.0,1019.8,25.2,16.7,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.9945218953682734,-0.10452846326765336,-648.7067419108173,0.021,11.2678
2015-01-19,66.1,37.3,49.4,37.5,69.2,8.1,203.8,1019.9,25.1,16.7,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.4035452963523902,-0.9149596678498247,-226.1952095114418,0.023799999999999998,12.668899999999999
2015-01-20,66.1,37.3,49.2,36.8,66.8,8.1,201.1,1022.5,33.3,15.7,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.35999680812005125,-0.932953534825489,-194.78707293759732,0.024800000000000013,13.089500000000006
2015-01-21,74.9,37.3,50.8,38.5,66.9,6.9,173.6,1024.5,25.1,16.6,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,0.11146893220632574,-0.9937679191605964,51.455173795762036,0.024599999999999993,13.073499999999997
2015-01-22,66.1,39.1,51.6,39.8,67.3,8.1,225.1,1022.8,69.7,16.1,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.7083398377245287,-0.7058715706786812,-386.13729573877225,0.02360000000000001,12.125800000000005
2015-01-23,64.3,46.3,54.0,43.3,69.2,8.1,228.5,1020.0,71.8,15.9,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.7489557207890022,-0.6626200482157375,-419.80466061665146,0.021400000000000006,11.002000000000002
2015-01-24,64.3,37.3,51.0,40.5,71.4,10.3,289.5,1020.1,44.7,16.8,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.9426414910921784,0.3338068592337709,-693.2374053790099,0.021,11.0731
2015-01-25,66.1,37.3,51.2,39.4,67.9,9.2,272.9,1021.2,61.3,16.3,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.9987193571841863,0.050592940076712646,-623.8800080458174,0.02360000000000001,12.208200000000005
2015-01-26,60.7,46.3,52.0,44.4,76.4,8.1,337.7,1021.9,88.9,8.3,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.3794561595290051,0.9252097183857821,-234.8226497629295,0.015200000000000003,7.732900000000002
2015-01-27,66.3,44.5,52.4,42.1,71.7,10.3,283.7,1020.2,55.0,10.5,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.9715491199976461,0.23683814606561873,-717.4987406094617,0.020599999999999993,10.770199999999996
2015-01-28,67.9,35.5,50.0,37.3,67.4,9.2,282.7,1017.7,25.4,17.8,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.9755345439458567,0.2198462043528369,-604.9094600099469,0.025400000000000006,13.463700000000003
2015-01-29,64.3,39.1,49.4,36.7,67.0,9.2,209.0,1018.8,51.8,15.4,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.48480962024633695,-0.8746197071393959,-298.8366499198421,0.025399999999999992,13.200799999999996
2015-01-30,58.9,37.3,46.7,38.2,73.7,11.4,220.9,1018.0,31.1,14.1,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.6547408137173396,-0.7558534691676396,-550.1001368690344,0.017,9.207
