tempmax,tempmin,temp,dew,humidity,sealevelpressure,solarenergy,windspeed,winddir,cloudcover,precipitation,datetime,month_sin,month_cos,season_sin,season_cos,winddir_sin,winddir_cos,orographic_precipitation_potential,valley_temperature_inversion_index,urban_heat_island_effect_refined
-1.7768419714851982,-1.5570620737687153,-1.53962404940108,-1.257043329605033,-0.16169164524890473,1.1482152982928848,-1.5048222669873208,-2.365004451129136,-0.8691040813245019,1.2513574292524094,0.45518342357406016,2015-01-01,0.5,0.87,-0.0,1.0,0.24,-0.97,104.82,0.02,8.53
-0.7265931447505525,-0.7171515345701772,-1.1575498423342807,-0.6860935859660654,0.36493832554046635,1.6127873263277188,-2.4368304337152495,-0.472025091531394,-2.542931089140803,1.468699295918749,-0.733470732197844,2015-01-02,0.5,0.87,-0.0,1.0,0.44,0.9,323.04,0.01,6.59
-1.0955868887770581,-0.8670883261512966,-1.1659636737091477,-0.5047000277020548,1.039494914755673,1.301148625903534,-2.1249898907808173,1.3132206295436446,1.7730038982107745,1.4274778095755551,0.16301917405396804,2015-01-03,0.5,0.87,-0.0,1.0,-0.82,0.57,-1112.58,0.01,4.42
-0.8531253158112039,-0.8670883261512966,-1.1910479080611736,-0.582576148310291,0.9481579846661288,0.5793200324994235,-1.1218687154586406,-0.472025091531394,0.6849401723031324,1.0107985526046084,0.16301917405396804,2015-01-04,0.5,0.87,-0.0,1.0,-0.95,-0.3,-749.78,0.01,5.25
-1.4432301059151886,-1.2931883257820895,-1.4441710860432495,-0.9176444446603723,0.6927029557061972,-0.39175920312494233,-0.7930122013128285,-0.05896206669413111,-0.05782567675097201,0.15196171676173986,-0.733470732197844,2015-01-05,0.5,0.87,-0.0,1.0,-0.55,-0.84,-470.49,0.01,6.2
-1.6143709490559095,-1.0131009086358356,-1.375617833672157,-0.977359521199255,0.15352415665113506,0.17599114495621937,-1.466738727073286,-0.05896206669413111,0.5026975318852349,0.8989517838240563,-0.733470732197844,2015-01-06,0.5,0.87,-0.0,1.0,-0.89,-0.45,-716.47,0.01,7.59
-1.7768419714851982,-1.2399852305055117,-1.5179673725101386,-1.1387644962146284,0.13383154672970526,0.34033969504456263,-1.3904242242970692,-0.05896206669413111,0.32578806138319044,0.978114198656631,-0.733470732197844,2015-01-07,0.5,0.87,-0.0,1.0,-0.81,-0.59,-647.47,0.01,7.56
-0.6442035485132741,-1.5570620737687153,-1.589299118412667,-1.2738941716147845,-0.0018818366078734768,0.7741184276635802,-1.2372310730411742,-1.6137302857961147,-0.24294978380881924,0.516793526291251,-0.733470732197844,2015-01-08,0.5,0.87,-0.0,1.0,-0.39,-0.92,-205.98,0.02,8.32
-1.4432301059151886,-1.5570620737687153,-1.6514200605243707,-1.5085584476461895,-0.33390719542556474,1.1229111348154983,-0.24568760989093133,-0.472025091531394,-2.283053958933185,-1.2063165187849916,-0.733470732197844,2015-01-09,0.5,0.87,-0.0,1.0,0.85,0.53,567.99,0.02,10.48
-1.0741219578168397,-1.8043312511126208,-1.6850912589819877,-1.7572882044559492,-0.723437169236596,0.7495909598881761,0.030301321397575395,-0.9614772386722648,1.2641287852130687,-1.3442997112628574,-0.733470732197844,2015-01-10,0.5,0.87,-0.0,1.0,-0.98,0.19,-542.45,0.02,12.99
-1.2632149586527888,-1.6827984122632116,-1.589299118412667,-1.707773954296389,-0.9870214682763445,0.872739961085081,-0.028959812118825822,-1.6137302857961147,-0.6378672151706455,0.5918213039492678,-0.733470732197844,2015-01-11,0.5,0.87,-0.0,1.0,-0.0,-1.0,-0.78,0.03,13.5
-1.2632149586527888,-1.6827984122632116,-1.6032728665222262,-1.5335597388402948,-0.48234416762474935,1.2244438323000733,0.030301321397575395,-0.9614772386722648,-0.006719956938709974,-0.4939959842606179,-0.733470732197844,2015-01-12,0.5,0.87,-0.0,1.0,-0.59,-0.81,-339.32,0.02,11.41
-1.2632149586527888,-1.6827984122632116,-1.5610598802560498,-1.4333882869456456,-0.4044203475778731,1.1229111348154983,0.08962621030321173,-0.472025091531394,0.9048353101820353,-0.8763681014098926,-0.733470732197844,2015-01-13,0.5,0.87,-0.0,1.0,-0.99,-0.11,-658.01,0.02,10.85
-1.2632149586527888,-1.6827984122632116,-1.5822758303730873,-1.5418872863478854,-0.5334724378221466,1.32682321534859,-0.009213249658162791,-0.9614772386722648,-1.0428996315190329,-1.0893343080435396,-0.733470732197844,2015-01-14,0.5,0.87,-0.0,1.0,0.42,-0.91,241.34,0.02,11.87
-0.13177758122669578,-1.6827984122632116,-1.53962404940108,-1.4668278662660756,-0.5503698600851603,1.32682321534859,-0.324270651610216,-0.472025091531394,0.4542896070059006,-1.3313234343777505,-0.733470732197844,2015-01-15,0.5,0.87,-0.0,1.0,-0.87,-0.49,-563.47,0.02,11.59
-1.6143709490559095,-1.6827984122632116,-1.589299118412667,-1.3999001636456445,-0.2892370424134989,1.32682321534859,-0.5787805994941004,-1.6137302857961147,-0.7669404956080448,-0.8663824939437349,-0.733470732197844,2015-01-16,0.5,0.87,-0.0,1.0,0.13,-0.99,67.77,0.02,10.05
-1.6143709490559095,-1.4271753328832548,-1.53962404940108,-1.2991485355745738,-0.1524413707275793,1.0473132319984657,-0.26534499222602526,-0.472025091531394,0.38310330559951844,-0.6694528993893278,-0.733470732197844,2015-01-17,0.5,0.87,-0.0,1.0,-0.84,-0.55,-576.48,0.02,9.53
