tempmax,tempmin,temp,dew,humidity,sealevelpressure,solarenergy,windspeed,winddir,cloudcover,precipitation_lag_2_days,precipitation_lag_1_days,precip_rolling_mean_3_days,precipitation,datetime,month_sin,month_cos,season_sin,season_cos,winddir_sin,winddir_cos,season
0.5250722786995131,1.165687284045852,1.0638878442989617,1.153087235212756,0.8090483309063395,-1.948988519106212,-0.5811084106470747,-2.36043566579756,-0.6690698470332583,1.356267492474819,1.72531416996633,1.1447845536138432,1.6310373083270633,1.7458580304906448,2016-07-04,-0.5,-0.87,-0.59,-0.81,0.04,-1.0,Monsoon
0.5250722786995131,1.3632956113818302,1.2115407101497842,1.198878246568596,0.6118724727392343,-2.0624519225465168,-0.679595833376256,0.3071133215112537,-1.685348692041817,1.3722238270861251,1.1448385007250694,1.7462625936220886,1.4449304713489992,1.4373622423401102,2016-07-05,-0.5,-0.87,-0.59,-0.81,0.94,-0.34,Monsoon
0.5250722786995131,0.9933751523579136,1.0202945441880178,1.162239958486059,0.8988469106334612,-2.0624519225465168,-0.7386060713082097,1.949909239108208,-0.8964063228710532,1.369348567474684,1.746265422060391,1.437898983394771,1.320088898826315,-0.7037623901697014,2016-07-06,-0.5,-0.87,-0.59,-0.81,0.28,-0.96,Monsoon
1.1011501119257463,1.165687284045852,1.137262550524347,1.2172137848884614,0.8425659073102446,-1.7178696815223762,-0.205385318266486,0.6916833374257519,-0.3124724380195793,1.2111294307904024,1.437938447513212,-0.7037792381459862,1.284494123740743,1.5829089774876357,2016-07-07,-0.5,-0.87,-0.59,-0.81,-0.32,-0.95,Monsoon
0.8063043800019083,1.165687284045852,1.241506089269811,1.2172137848884614,0.6442692939359022,-1.6198959145106535,-0.0862819511170795,-1.6048453304868493,1.0752388713770182,1.2217033262233934,-0.7037847239774818,1.5834039674635008,0.9386524430608356,-0.0240049350183574,2016-07-08,-0.5,-0.87,-0.59,-0.81,-1.0,0.02,Monsoon
0.8063043800019083,1.0254435417288583,1.1078045408199284,1.2080446520715795,0.92150608507257,-1.910858864098412,-0.1458596689357812,0.3071133215112537,-0.303665949397625,1.2708899472646769,1.583430337599358,-0.0237131120628058,0.6856823461344846,-0.7037623901697014,2016-07-09,-0.5,-0.87,-0.59,-0.81,-0.33,-0.95,Monsoon
0.8063043800019083,1.0899130390140832,1.0347897797308288,1.1439372575714974,0.8090483309063395,-1.9869635163604509,-0.4034158175979916,0.6916833374257519,-0.0253754180357801,1.2903607613015904,-0.023677278075875,-0.7037792381459862,0.6856823461344846,1.2589341090343222,2016-07-10,-0.5,-0.87,-0.59,-0.81,-0.57,-0.82,Monsoon
0.5250722786995131,1.165687284045852,0.9770235315564542,1.2355602203669995,1.2595676405429177,-1.4810523578951214,-1.4219669316734882,-1.6048453304868493,-0.1343064918753302,1.422103424649353,-0.7037847239774818,1.2594936951329794,0.1681208540502757,1.6723911468746204,2016-07-11,-0.5,-0.87,-0.59,-0.81,-0.48,-0.88,Monsoon
0.8063043800019083,1.1874476458442436,1.1668651128236416,1.2355602203669995,0.8201999717623724,-1.3806649957092334,-0.5219358045348418,-0.0468539984741846,-0.0745809197275337,1.2758043290408188,1.2595434478104626,1.6728446700542028,1.035902024060144,1.3277575379360804,2016-07-12,-0.5,-0.87,-0.59,-0.81,-0.53,-0.85,Monsoon
1.1011501119257463,1.165687284045852,1.271617168947919,1.1897145714132742,0.4736234925332076,-1.3402243688733633,-3.0504780170363404,-0.4599626065569748,-0.0436351232923321,1.394823079326338,1.6728597775287672,1.3283112961965673,1.1413958721620616,0.719553616372042,2016-07-13,-0.5,-0.87,-0.59,-0.81,-0.55,-0.83,Monsoon
0.8063043800019083,1.165687284045852,1.1078045408199284,1.2447375169991777,0.9899883498520656,-1.5606328099155,-0.7779111545730534,-0.0468539984741846,-0.0963522270563119,1.3920366939866438,1.3283576873198584,0.7200694428339348,1.0904789540297304,1.7966287441195954,2016-07-14,-0.5,-0.87,-0.59,-0.81,-0.51,-0.86,Monsoon
2.504170669053118,1.0899130390140832,1.0931296406170852,1.309054453313414,1.295562254113512,-1.600181604138447,-0.9152513782360632,1.185475898105714,-0.3947230509335591,1.3707876207409655,0.7201273462975952,1.79698469714404,1.5247249890316534,1.728905955570284,2016-07-15,-0.5,-0.87,-0.59,-0.81,-0.24,-0.97,Monsoon
0.5250722786995131,1.165687284045852,0.9483546905120868,1.2355602203669995,1.3317501461065753,-1.1562004862682862,-0.5416665803433832,-0.0468539984741846,0.3407895966918555,1.4287621973093474,1.796976037060554,1.7293234825566732,1.58153176946225,1.7837795884050056,2016-07-16,-0.5,-0.87,-0.59,-0.81,-0.81,-0.59,Monsoon
0.2571051500193169,1.014741747368997,0.655867326208931,1.162239958486059,1.807023151558348,-1.0107348614060063,-1.5573604165088042,-0.0468539984741846,-0.6857243452668965,1.434044091999241,1.729329483077154,1.7841497001648474,1.6637441594518945,0.2786575253842606,2016-07-17,-0.5,-0.87,-0.59,-0.81,0.06,-1.0,Monsoon
0.2571051500193169,1.1115013504352305,0.8491331202797716,1.162239958486059,1.2715443936819055,-1.2384030700563904,-1.6730180495131493,-0.4599626065569748,-0.1288958209341641,1.3793624644705078,1.784144324823168,0.2790577005899602,1.5290447365504618,1.796160202868952,2016-07-18,-0.5,-0.87,-0.59,-0.81,-0.48,-0.88,Monsoon
