name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
VNKT,2017-09-27,84.1,66.1,74.6,84.3,66.1,74.8,64.7,73.7,0,0,0,,0,0,14.5,12.8,195,1015.5,25,4.7,185.9,16.2,7,,2017-09-27T05:54:10,2017-09-27T17:54:28,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-09-28,80.5,67.9,73.9,82.6,67.9,74.2,66.5,78.8,0,0,0,,0,0,13.9,8.1,256.2,1014.9,25,3.9,188.9,16.2,8,,2017-09-28T05:54:39,2017-09-28T17:53:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-09-29,80.5,67.9,72.3,83.7,67.9,72.7,67,84,0,0,0,,0,0,16.6,13.9,174.9,1014.4,25,4.1,174.4,15,7,,2017-09-29T05:55:08,2017-09-29T17:52:10,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-09-30,82.3,67.9,73.2,84.5,67.9,73.6,67.1,82.2,0.669,100,4.17,rain,0,0,11.4,9.2,239.5,1016.1,25,4.9,100.4,8.9,4,,2017-09-30T05:55:37,2017-09-30T17:51:01,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
VNKT,2017-10-01,82.3,66.8,73.4,84.5,66.8,73.9,66.9,81.2,0.02,100,4.17,rain,0,0,15.2,8.1,241.2,1015.6,27.7,5.2,167.4,14.5,7,,2017-10-01T05:56:07,2017-10-01T17:49:53,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,remote,44449099999"
VNKT,2017-10-02,80.5,69.7,73.1,83.2,69.7,73.3,66.5,81,0.276,100,4.17,rain,0,0,14.8,11.4,209.2,1014.5,26,4.9,151.6,13.1,7,,2017-10-02T05:56:36,2017-10-02T17:48:45,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
VNKT,2017-10-03,80.5,66.1,72.8,82.6,66.1,73,66.4,81.5,0.512,100,4.17,rain,0,0,14.1,9.2,252.5,1015.6,27.5,4.8,169.5,14.6,6,,2017-10-03T05:57:06,2017-10-03T17:47:37,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
VNKT,2017-10-04,84.1,64.1,73.9,87.3,64.1,74.5,66.4,78.8,0,0,0,,0,0,13.2,10.3,218.8,1017.1,28.1,4.9,226.1,19.6,8,,2017-10-04T05:57:36,2017-10-04T17:46:29,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
VNKT,2017-10-05,84.1,69.7,74.6,86.4,69.7,75.4,67.3,79.4,0,0,0,,0,0,13,10.3,161,1017.8,25,4.8,218.5,18.9,8,,2017-10-05T05:58:07,2017-10-05T17:45:23,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-06,84.1,67.9,74.4,86.4,67.9,75,67.1,79.9,0.492,100,8.33,rain,0,0,14.3,9.2,257.6,1017.4,26,4.6,221.1,19,8,,2017-10-06T05:58:38,2017-10-06T17:44:16,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"44454099999,VNKT,44449099999"
VNKT,2017-10-07,84.1,66.1,73.8,86.4,66.1,74.3,66.6,80,0,0,0,,0,0,15,8.1,230.9,1016.9,25,5.1,207.9,17.8,7,,2017-10-07T05:59:09,2017-10-07T17:43:10,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-08,82.3,64.3,72.1,83.3,64.3,72.3,64.2,78.2,0,0,0,,0,0,15.2,10.3,254,1016.3,25,5.1,181.5,15.8,6,,2017-10-08T05:59:40,2017-10-08T17:42:04,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-09,82.3,62.5,71.7,83.3,62.5,71.9,63.4,77,0,0,0,,0,0,15,11.4,180,1016.7,24.3,4.8,173.4,14.7,8,,2017-10-09T06:00:12,2017-10-09T17:40:59,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
VNKT,2017-10-10,80.5,66.1,71.9,81.7,66.1,72,63.8,77,0,0,0,,0,0,17.7,10.3,212.1,1015.9,25,4.8,180.2,15.7,7,,2017-10-10T06:00:44,2017-10-10T17:39:55,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-11,84.1,64.3,72.4,85.6,64.3,72.7,64.2,77.8,0,0,0,,0,0,11.6,9.2,153,1015.7,25,4.8,137.1,11.7,6,,2017-10-11T06:01:16,2017-10-11T17:38:51,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-12,82.3,63.2,72.9,84.5,63.2,73.2,65.1,78.1,0,0,0,,0,0,17,9.2,221,1014.5,27,4.8,189.3,16.4,8,,2017-10-12T06:01:49,2017-10-12T17:37:48,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
VNKT,2017-10-13,82.3,64.3,72.6,83.3,64.3,72.8,65.2,79.3,0,0,0,,0,0,17,10.3,278.3,1012.9,25,4.9,175,15,7,,2017-10-13T06:02:22,2017-10-13T17:36:45,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-14,84.1,66.1,72.1,82.7,66.1,72,62.4,74.9,0,0,0,,0,0,13.4,8.1,210.6,1012,25,4.7,123.9,10.7,4,,2017-10-14T06:02:55,2017-10-14T17:35:43,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-15,78.7,66.1,70.7,78.7,66.1,70.7,61.6,74,0.012,100,4.17,rain,0,0,14.5,9.2,226.8,1012.8,26.4,3.2,187.7,16.2,7,,2017-10-15T06:03:29,2017-10-15T17:34:42,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"44454099999,VNKT,remote,44449099999"
VNKT,2017-10-16,78.7,64.3,70.3,78.7,64.3,70.3,61.8,76.2,0,0,0,,0,0,15,10.3,227.4,1014.4,25,3.4,173.1,15,7,,2017-10-16T06:04:03,2017-10-16T17:33:41,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-17,80.5,64.3,70.9,80.7,64.3,70.9,59.7,70,0,0,0,,0,0,10.5,8.1,262.5,1016,25,3.5,169.4,14.7,7,,2017-10-17T06:04:38,2017-10-17T17:32:42,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-18,84.1,60.7,70.4,82.2,60.7,70.1,56.3,66,0,0,0,,0,0,13,8.1,127.5,1017.3,25.3,4.7,207.3,18,8,,2017-10-18T06:05:13,2017-10-18T17:31:43,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
VNKT,2017-10-19,84.1,58.9,69.8,83,58.9,69.6,57.4,68.2,0,0,0,,0,0,11.6,8.1,231.5,1017.7,25,4.5,222.2,19.2,8,,2017-10-19T06:05:49,2017-10-19T17:30:44,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-20,82.3,58.9,69.5,82.4,58.9,69.5,60.7,75.9,0,0,0,,0,0,15.4,9.2,260.3,1016.5,24.3,5.2,202.6,17.5,8,,2017-10-20T06:06:25,2017-10-20T17:29:47,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
VNKT,2017-10-21,75.1,62.5,68.9,75.1,62.5,68.9,61.9,79.5,0,0,0,,0,0,17.2,9.2,254.8,1013.6,25,4.5,183.5,16,7,,2017-10-21T06:07:01,2017-10-21T17:28:51,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-22,78.7,60.7,68.7,78.7,60.7,68.7,60.9,78.1,0.004,100,4.17,rain,0,0,18.8,10.3,238,1012.8,28.1,4.8,170.9,14.8,7,,2017-10-22T06:07:38,2017-10-22T17:27:55,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"44454099999,VNKT,remote,44449099999"
VNKT,2017-10-23,78.7,58.9,67.6,78.7,58.9,67.6,56,68.6,0,0,0,,0,0,16.6,12.8,213.3,1014.8,25,4.1,188.7,16.5,7,,2017-10-23T06:08:15,2017-10-23T17:27:01,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-24,75.1,55.3,64,75.1,55.3,64,50.3,64.7,0,0,0,,0,0,14.8,8.1,256.7,1018,25,4.2,170.1,14.8,6,,2017-10-24T06:08:53,2017-10-24T17:26:07,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
VNKT,2017-10-25,75.1,51.7,61.9,75.1,51.7,61.9,50.9,70,0,0,0,,0,0,13,8.1,191.4,1021.1,25,4,178.6,15.3,6,,2017-10-25T06:09:31,2017-10-25T17:25:14,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
